# Source resolution: 1920x1080
# Destination resolution: 3840x2160
# DLPP version: DLPP_MEDIUM
frame,psnr
0,82.30121606758368
1,40.525740399035406
2,41.329980964580955
3,36.80624991103316
4,36.00915316806002
5,33.51017741241402
6,35.082975978316945
7,39.37304713542219
8,40.89361019181829
9,42.4187257856544
10,43.83121006681922
11,43.713920614281406
12,42.05114122746642
13,41.46560063240362
14,41.764475253671954
15,35.214356080632314
16,36.79426996894008
17,37.75720216235982
18,33.68327289985517
19,34.33172653374258
20,29.150648173204452
21,42.535278460125596
22,31.431715626124376
23,31.435122905361656
24,32.24628569489691
25,32.12086774083778
26,38.40912484498628
27,38.75674948505443
28,36.26190842264228
29,37.90857888223799
30,39.05520929155823
31,33.634558694063
32,41.10638725775626
33,41.14469855203783
34,32.68255854625722
35,32.53492753518635
36,33.59499123720419
37,33.28280604041194
38,41.74353751456952
39,41.20693978976433
40,33.4451455914879
41,33.409254367697876
42,33.362279227668424
43,33.614799330839375
44,37.189069562052886
45,36.260467576401545
46,33.31053179896945
47,33.85516702293866
48,30.609720297352098
49,31.128340273008813
50,32.45713315612403
51,41.06390761930261
52,39.42786380731117
53,40.10872356803723
54,40.58093761228201
55,33.11959112951297
56,34.69878220449854
57,45.16273530915545
58,44.43602648341373
59,37.53273081880087
60,37.921546320579765
61,38.08773176348775
62,38.27163519645472
63,31.563067976409744
64,41.294700580312906
65,41.55635438678014
66,35.57218145952354
67,36.123568663467736
68,32.229985978901176
69,30.862969181306468
70,35.43275982998552
71,40.4971754229466
72,40.62466183253613
73,39.42813544599658
74,41.48240682678192
75,44.239339457731965
76,35.60195073643188
77,35.52239709946786
78,32.00789452749618
79,31.517683307437633
80,42.44707759953296
81,41.91638640095921
82,44.92403400602443
83,44.62611473943707
84,38.60123031781989
85,38.5499078142712
86,39.45465215071631
87,39.26960198551328
88,34.415158969716984
89,32.52298891168232
90,29.28683691073916
91,29.89274886833641
92,35.10877225651804
93,36.081349109711525
94,29.44807713318657
95,32.031530613119685
96,32.51679666740116
97,37.22686821260063
98,39.06156869698283
99,35.364953731112145
100,37.20554663340291
average,37.36301486760444
